iter	Logloss
0	0.684632302
1	0.6756332525
2	0.6677978642
3	0.65962309
4	0.6519653525
5	0.6447517491
6	0.6391833728
7	0.6341249899
8	0.6293249853
9	0.6235721088
10	0.6188378644
11	0.6137432036
12	0.609202302
13	0.6046161832
14	0.6010476346
15	0.5963955872
16	0.5928604684
17	0.5892739425
18	0.5860236634
19	0.5825681361
20	0.5798880304
21	0.5771418295
22	0.5745494707
23	0.5721417372
24	0.5694911936
25	0.5672159584
26	0.5651787873
27	0.5625666961
28	0.5603502885
29	0.5582633341
30	0.5562132342
31	0.5546843933
32	0.5526118713
33	0.5506557464
34	0.5490027077
35	0.5476240455
36	0.546378239
37	0.5445852292
38	0.5429985354
39	0.5413765592
40	0.5399545817
41	0.5385444245
42	0.5371132226
43	0.5359571129
44	0.534842471
45	0.5335311012
46	0.5324529803
47	0.5313557264
48	0.5302609662
49	0.5287049158
50	0.5276445896
51	0.5262277056
52	0.5251450064
53	0.5242256735
54	0.5229859916
55	0.5219413405
56	0.5209365731
57	0.5198626555
58	0.5188623043
59	0.5173114941
60	0.5164696403
61	0.5157337886
62	0.5144066102
63	0.5138176036
64	0.5131058029
65	0.5123310935
66	0.5114622975
67	0.5108497048
68	0.5101588296
69	0.5094281672
70	0.5082924705
71	0.5074572766
72	0.5069050776
73	0.506525244
74	0.5060714068
75	0.5051982357
76	0.5042556471
77	0.5038427814
78	0.5031492911
79	0.5025654967
80	0.5018900924
81	0.5013072789
82	0.5007314167
83	0.5003252299
84	0.4997965765
85	0.4985122745
86	0.497949502
87	0.4975203615
88	0.4965900027
89	0.4960052469
90	0.4952593149
91	0.4946587753
92	0.493411592
93	0.4926687514
94	0.4919354744
95	0.491197923
96	0.490550509
97	0.489940822
98	0.4892581016
99	0.4887923727
100	0.4883309176
101	0.4877036687
102	0.4871348655
103	0.4862031334
104	0.4856803106
105	0.4849713448
106	0.4842199776
107	0.4837902459
108	0.4828054013
109	0.4819212908
110	0.4815721736
111	0.4811205371
112	0.4805816849
113	0.4801631364
114	0.4794893398
115	0.4789688839
116	0.4786655391
117	0.4780625501
118	0.4774931846
119	0.4770877602
120	0.4764977019
121	0.4758997515
122	0.4754127322
123	0.4749714822
124	0.4745714728
125	0.4739278528
126	0.4735554883
127	0.4730474233
128	0.4725024994
129	0.471858813
