iter	Passed	Remaining
0	1	775
1	3	679
2	5	669
3	6	667
4	8	652
5	9	643
6	11	633
7	12	636
8	14	648
9	16	639
10	17	636
11	19	631
12	21	628
13	22	623
14	24	617
15	25	616
16	27	615
17	28	611
18	30	614
19	32	609
20	33	606
21	35	602
22	36	599
23	38	597
24	39	594
25	41	590
26	42	587
27	44	584
28	46	588
29	47	587
30	49	585
31	50	582
32	52	579
33	53	577
34	55	574
35	56	572
36	58	570
37	59	567
38	61	565
39	62	562
40	64	562
41	65	561
42	67	559
43	68	557
44	70	555
45	71	552
46	73	550
47	75	550
48	76	550
49	78	550
50	80	548
51	82	549
52	83	547
53	85	545
54	86	543
55	88	542
56	89	540
57	91	539
58	93	538
59	95	542
60	97	541
61	99	539
62	100	539
63	102	537
64	104	536
65	105	535
66	107	533
67	109	532
68	110	531
69	112	530
70	114	528
71	115	526
72	117	524
73	118	523
74	120	521
75	121	519
76	123	517
77	125	518
78	127	517
79	129	516
80	130	515
81	132	514
82	134	512
83	135	510
84	137	509
85	139	507
86	140	506
87	142	504
88	144	503
89	145	501
90	147	500
91	149	500
92	150	498
93	152	496
94	154	494
95	155	493
96	157	491
97	158	489
98	160	488
99	162	487
100	163	485
101	165	483
102	166	481
103	168	480
104	170	478
105	171	476
106	173	474
107	174	473
108	176	472
109	178	470
110	180	468
111	181	467
112	183	465
113	185	464
114	186	462
115	188	460
116	189	459
117	191	457
118	193	455
119	194	454
120	196	452
121	197	451
122	199	449
123	201	447
124	202	446
125	204	444
126	206	443
127	207	441
128	209	440
129	211	438
130	212	437
131	214	435
132	216	433
133	218	433
134	220	432
135	222	431
136	224	430
137	226	429
138	227	428
139	229	426
140	231	425
141	233	424
142	235	422
143	236	421
144	238	419
145	240	417
146	241	416
147	243	414
148	244	412
149	246	410
150	248	409
151	249	407
152	251	406
153	253	404
154	254	402
155	256	401
156	258	400
157	260	398
158	261	396
159	263	395
160	265	393
161	267	392
162	268	390
163	270	389
164	272	387
165	273	385
166	275	384
167	277	382
168	279	381
169	280	380
170	282	378
171	284	376
172	286	375
173	287	374
174	289	372
175	291	370
176	293	369
177	294	367
178	296	365
179	297	364
180	299	362
181	301	360
182	302	359
183	304	357
184	306	355
185	307	354
186	309	352
187	311	350
188	312	349
189	314	347
190	316	345
191	317	344
192	319	342
193	321	341
194	322	339
195	324	337
196	326	336
197	328	334
198	329	333
199	331	331
200	333	329
201	334	328
202	336	326
203	337	324
204	339	323
205	341	321
206	343	319
207	344	318
208	346	316
209	347	314
210	349	313
211	351	311
212	353	309
213	354	308
214	356	307
215	358	305
216	360	303
217	361	302
218	363	300
219	365	298
220	366	297
221	368	295
222	370	293
223	371	291
224	373	290
225	375	288
226	376	287
227	378	285
228	380	283
229	381	282
230	384	281
231	385	279
232	387	277
233	388	275
234	390	274
235	392	272
236	393	270
237	395	269
238	397	267
239	398	265
240	400	264
241	401	262
242	403	260
243	405	259
244	407	257
245	409	256
246	410	254
247	412	252
248	414	251
249	415	249
250	417	247
251	419	246
252	420	244
253	422	242
254	424	241
255	426	239
256	428	238
257	430	236
258	431	235
259	433	233
260	435	231
261	437	230
262	439	228
263	440	227
264	442	225
265	443	223
266	445	222
267	447	220
268	449	218
269	451	217
270	453	215
271	455	214
272	457	212
273	459	211
274	461	209
275	463	208
276	464	206
277	466	204
278	468	203
279	470	201
280	471	199
281	473	198
282	475	196
283	477	194
284	478	193
285	480	191
286	482	189
287	483	188
288	485	186
289	487	184
290	489	183
291	490	181
292	492	179
293	494	178
294	496	176
295	497	174
296	499	173
297	501	171
298	502	169
299	504	168
300	506	166
301	507	164
302	509	163
303	511	161
304	512	159
305	514	158
306	516	156
307	517	154
308	519	153
309	521	151
310	523	149
311	524	147
312	526	146
313	527	144
314	529	142
315	531	141
316	532	139
317	534	137
318	536	136
319	538	134
320	540	132
321	542	131
322	543	129
323	545	127
324	546	126
325	548	124
326	550	122
327	551	121
328	553	119
329	555	117
330	556	116
331	558	114
332	560	112
333	562	111
334	563	109
335	565	107
336	566	105
337	568	104
338	570	102
339	572	101
340	574	99
341	575	97
342	578	96
343	579	94
344	581	92
345	583	91
346	584	89
347	586	87
348	587	85
349	589	84
350	591	82
351	592	80
352	594	79
353	596	77
354	597	75
355	599	74
356	601	72
357	603	70
358	604	69
359	606	67
360	608	65
361	610	64
362	611	62
363	614	60
364	616	59
365	617	57
366	619	55
367	621	54
368	623	52
369	625	50
370	627	49
371	629	47
372	631	45
373	632	44
374	634	42
375	636	40
376	638	38
377	640	37
378	641	35
379	643	33
380	645	32
381	646	30
382	649	28
383	650	27
384	653	25
385	654	23
386	656	22
387	657	20
388	659	18
389	661	16
390	663	15
391	664	13
392	666	11
393	668	10
394	670	8
395	671	6
396	673	5
397	675	3
398	676	1
399	678	0
